SampleName,VolumeDensity,SurfaceAreaDensity,MeanBreadthDensity,EulerNumberDensity,VoxelCount,Volume,SurfaceArea,MeanBreadth,Sphericity,EulerNumber,Box.X.Min,Box.X.Max,Box.Y.Min,Box.Y.Max,Box.Z.Min,Box.Z.Max,Centroid.X,Centroid.Y,Centroid.Z,Elli.Center.X,Elli.Center.Y,Elli.Center.Z,Elli.R1,Elli.R2,Elli.R3,Elli.Azim,Elli.Elev,Elli.Roll,Elli.R1/R2,Elli.R1/R3,Elli.R2/R3,InscrBall.Center.X,InscrBall.Center.Y,InscrBall.Center.Z,InscrBall.Radius
Scan030_051,0.666,0.087,-0.0001715,-5.90E-06,41614.22222,41614.22222,7131.286574,49.71964815,0.416851852,0.259259259,48.2037037,95.57407407,55.12962963,97.7962963,54.83333333,100.2962963,71.85374074,76.56266667,77.49237037,71.85374074,76.56266667,77.49237037,30.11255556,20.37198148,14.31427778,-4.85462963,1.580962963,-18.65016667,1.554166667,2.345944444,1.52662963,71.24074074,76.18518519,76.05555556,15.41974074
Scan030_052,0.664,0.092,4.01E-05,-2.12E-06,36141.51613,36141.51613,6422.491113,47.11724194,0.404806452,0.483870968,56.80645161,99.90322581,45.20967742,84.88709677,47.80645161,92.80645161,78.90970968,64.50525806,70.25806452,78.90970968,64.50525806,70.25806452,28.31058065,19.523,12.62817742,-0.76233871,-3.679758065,-17.17430645,1.508,2.582951613,1.701967742,78.35483871,63.67741935,69.75806452,14.15595161
Scan030_053,0.659,0.09,-7.53E-05,-3.10E-06,41937.81132,41937.81132,7371.046226,52.51688679,0.348,0.509433962,52.50943396,101.9622642,55.32075472,99.03773585,58.05660377,102.5471698,77.27071698,77.68415094,80.35858491,77.27071698,77.68415094,80.35858491,30.36735849,20.33266038,13.35358491,-4.797830189,5.639075472,-22.95501887,1.534566038,2.570226415,1.681264151,77.30188679,77.0754717,80.01886792,14.12579245
Scan030_054,0.632,0.083,-5.30E-05,9.49E-06,40256.66038,40256.66038,6949.922547,45.77616981,0.390301887,1.150943396,56.41509434,101.3962264,62.09433962,105.6226415,57.58490566,100.5849057,79.04666038,83.57945283,78.91303774,79.04666038,83.57945283,78.91303774,28.65532075,19.69360377,13.46162264,-0.316433962,5.806679245,7.305169811,1.524415094,2.436283019,1.60809434,78.52830189,83.37735849,77.81132075,14.86167925
Scan030_055,0.721,0.086,-0.0002012,-2.62E-05,52919.73913,52919.73913,8386.649152,50.70419565,0.38276087,-1.239130435,47.89130435,98.32608696,65.26086957,110.0217391,48.95652174,95.45652174,73.17876087,88.62682609,71.76736957,73.17876087,88.62682609,71.76736957,31.35284783,21.81721739,14.63726087,-0.938521739,-4.486086957,5.253717391,1.524326087,2.452130435,1.627869565,71.43478261,90.15217391,70.23913043,16.47095652
Scan030_056,0.697,0.09,-0.000219,-2.68E-06,43599.92593,43599.92593,7481.839315,52.72535185,0.398907407,0.481481481,53.77777778,102.5925926,57.27777778,101.5555556,50.44444444,99.88888889,77.88307407,79.17292593,75.70131481,77.88307407,79.17292593,75.70131481,31.6362963,21.74927778,14.02262963,5.952925926,-13.37492593,-8.999648148,1.496444444,2.502203704,1.682111111,76.87037037,78.16666667,73.62962963,16.01851852
Scan030_057,0.697,0.088,-0.0001539,-1.24E-05,45229.57692,45229.57692,7506.988327,48.85530769,0.409730769,-0.096153846,60.09615385,104.3076923,49.07692308,91.34615385,52.88461538,98.34615385,81.52073077,70.56446154,75.59063462,81.52073077,70.56446154,75.59063462,29.40053846,20.10940385,13.80948077,-0.426019231,-4.687192308,17.48048077,1.492288462,2.312288462,1.533903846,80.90384615,70.32692308,73.96153846,15.00640385
Scan030_058,0.68,0.082,-0.000132,-8.31E-07,45953.92,45953.92,7445.79962,52.07396,0.36058,0.52,50.4,96.8,52.28,95.6,56.56,102.44,73.45386,73.73954,79.59664,73.45386,73.73954,79.59664,31.0913,19.62196,13.715,10.83244,5.96278,10.07338,1.63852,2.61986,1.62652,73.4,73.06,77.06,15.35334
Scan030_059,0.676,0.079,-8.63E-06,4.65E-06,47605.60417,47605.60417,7507.014146,49.9026875,0.404833333,0.979166667,47.70833333,94.72916667,55.39583333,97.70833333,61.39583333,107.9791667,71.84575,76.64164583,85.08733333,71.84575,76.64164583,85.08733333,31.12664583,20.73358333,13.27827083,-14.8791875,2.245729167,-11.02941667,1.564,2.821979167,1.8259375,70.52083333,76.64583333,83.89583333,15.75
Scan030_060,0.662,0.087,-6.04E-05,-1.10E-05,39163.2807,39163.2807,6692.560211,47.5935614,0.409631579,-0.087719298,55.07017544,100.3333333,56.47368421,100.1754386,48.29824561,92.12280702,78.38178947,78.31814035,69.81989474,78.38178947,78.31814035,69.81989474,28.70615789,20.42054386,13.61478947,-10.90396491,0.367789474,21.38992982,1.47877193,2.461736842,1.671526316,79.01754386,77.52631579,68.9122807,15.19296491
Scan030_061,0.713,0.092,-0.0004601,-1.28E-05,57314.69048,57314.69048,9808.885071,60.04985714,0.323761905,-0.404761905,54.30952381,102.7380952,39.69047619,93.5,47.0952381,101.9047619,78.40814286,66.23638095,74.03352381,78.40814286,66.23638095,74.03352381,34.7832619,23.52930952,15.34195238,-9.10697619,-8.830047619,2.58297619,1.549,2.637738095,1.68152381,78.4047619,64.57142857,71.5,16.92064286
Scan030_062,0.642,0.077,-2.68E-05,4.84E-06,42451.78431,42451.78431,6724.366843,46.33729412,0.408294118,0.980392157,58.29411765,103.3921569,53.98039216,94.82352941,53.39215686,96.35294118,80.97966667,74.14519608,75.14788235,80.97966667,74.14519608,75.14788235,29.37682353,19.9005098,12.86827451,-31.97752941,-6.017686275,-7.354960784,1.589686275,2.772686275,1.73045098,80.17647059,73.43137255,73.96078431,15.19615686
Scan030_063,0.621,0.092,4.73E-05,7.67E-06,34335.65574,34335.65574,6380.826148,48.80157377,0.374852459,1.081967213,52.57377049,93.70491803,59.09836066,102.1311475,49.93442623,96.21311475,73.23272131,80.90640984,72.90263934,73.23272131,80.90640984,72.90263934,28.4614918,19.72770492,12.82704918,-6.762016393,4.496819672,-12.6265082,1.551114754,2.615344262,1.715606557,73.08196721,80.50819672,72.14754098,13.91259016
